dataset,method,metric,score
pancreas_comm_genes,seurat3,batch_entropy,0.829
pancreas_comm_genes,seurat3,cell_type_entropy,0.039
pancreas_hvg,combat,batch_entropy,0.237
pancreas_hvg,combat,cell_type_entropy,0.039
pancreas_hvg,fastmnn,batch_entropy,0.413
pancreas_hvg,fastmnn,cell_type_entropy,0.037
pancreas_hvg,harmony,batch_entropy,0.759
pancreas_hvg,harmony,cell_type_entropy,0.065
pancreas_hvg,limma,batch_entropy,0.241
pancreas_hvg,limma,cell_type_entropy,0.039
pancreas_hvg,logcounts,batch_entropy,0.026
pancreas_hvg,logcounts,cell_type_entropy,0.039
pancreas_hvg,mnncorrect,batch_entropy,0.282
pancreas_hvg,mnncorrect,cell_type_entropy,0.038
pancreas_hvg,scanorama,batch_entropy,0.406
pancreas_hvg,scanorama,cell_type_entropy,0.04
pancreas_hvg,seurat3,batch_entropy,0.819
pancreas_hvg,seurat3,cell_type_entropy,0.05
sce_umap_BoneMarrow,combat,batch_entropy,0.576
sce_umap_BoneMarrow,combat,cell_type_entropy,0.312
sce_umap_BoneMarrow,fastmnn,batch_entropy,0.601
sce_umap_BoneMarrow,fastmnn,cell_type_entropy,0.272
sce_umap_BoneMarrow,harmony,batch_entropy,0.793
sce_umap_BoneMarrow,harmony,cell_type_entropy,0.33
sce_umap_BoneMarrow,limma,batch_entropy,0.517
sce_umap_BoneMarrow,limma,cell_type_entropy,0.308
sce_umap_BoneMarrow,logcounts,batch_entropy,0.172
sce_umap_BoneMarrow,logcounts,cell_type_entropy,0.262
sce_umap_BoneMarrow,mnncorrect,batch_entropy,0.27
sce_umap_BoneMarrow,mnncorrect,cell_type_entropy,0.265
sce_umap_BoneMarrow,scanorama,batch_entropy,0.667
sce_umap_BoneMarrow,scanorama,cell_type_entropy,0.284
sce_umap_BoneMarrow,seurat3,batch_entropy,0.87
sce_umap_BoneMarrow,seurat3,cell_type_entropy,0.47
sce_umap_Brain,combat,batch_entropy,0.08
sce_umap_Brain,combat,cell_type_entropy,0.049
sce_umap_Brain,fastmnn,batch_entropy,0.316
sce_umap_Brain,fastmnn,cell_type_entropy,0.076
sce_umap_Brain,harmony,batch_entropy,0.339
sce_umap_Brain,harmony,cell_type_entropy,0.075
sce_umap_Brain,limma,batch_entropy,0.038
sce_umap_Brain,limma,cell_type_entropy,0.055
sce_umap_Brain,logcounts,batch_entropy,0.011
sce_umap_Brain,logcounts,cell_type_entropy,0.046
sce_umap_Brain,mnncorrect,batch_entropy,0.257
sce_umap_Brain,mnncorrect,cell_type_entropy,0.061
sce_umap_Brain,scanorama,batch_entropy,0.393
sce_umap_Brain,scanorama,cell_type_entropy,0.076
sce_umap_Brain,seurat3,batch_entropy,0.757
sce_umap_Brain,seurat3,cell_type_entropy,0.269
sce_umap_Liver,combat,batch_entropy,0.076
sce_umap_Liver,combat,cell_type_entropy,0.199
sce_umap_Liver,fastmnn,batch_entropy,0.126
