dataset,scenario,method,metric,score
bct,randomly_wrong_70,ItClust,truepos_rate,0.0805638
bct,randomly_wrong_70,STACAS,ARI_cluster/label,0.95216
bct,randomly_wrong_70,STACAS,ASW_label,0.606837
bct,randomly_wrong_70,STACAS,ASW_label/batch,0.822314
bct,randomly_wrong_70,STACAS,NMI_cluster/label,0.925721
bct,randomly_wrong_70,STACAS,graph_conn,0.999875
bct,randomly_wrong_70,STACAS,kBET,0.087845
bct,randomly_wrong_70,STACAS,pos_rate,0.995128
bct,randomly_wrong_70,STACAS,truepos_rate,0.0998782
bct,randomly_wrong_70,scANVI,ARI_cluster/label,0.975347
bct,randomly_wrong_70,scANVI,ASW_label,0.556944
bct,randomly_wrong_70,scANVI,ASW_label/batch,0.954785
bct,randomly_wrong_70,scANVI,NMI_cluster/label,0.950992
bct,randomly_wrong_70,scANVI,graph_conn,1
bct,randomly_wrong_70,scANVI,kBET,0.206695
bct,randomly_wrong_70,scANVI,pos_rate,0.991996
bct,randomly_wrong_70,scANVI,truepos_rate,0.326605
bct,randomly_wrong_70,scDREAMER,ARI_cluster/label,0.386385
bct,randomly_wrong_70,scDREAMER,ASW_label,0.668756
bct,randomly_wrong_70,scDREAMER,ASW_label/batch,0.953856
